date,cash,total_value,688981_shares,688981_weight,688981_value,688256_shares,688256_weight,688256_value,688111_shares,688111_weight,688111_value,688041_shares,688041_weight,688041_value,688012_shares,688012_weight,688012_value,688008_shares,688008_weight,688008_value,603993_shares,603993_weight,603993_value,603501_shares,603501_weight,603501_value,603259_shares,603259_weight,603259_value,603019_shares,603019_weight,603019_value,601988_shares,601988_weight,601988_value,601985_shares,601985_weight,601985_value,601919_shares,601919_weight,601919_value,601899_shares,601899_weight,601899_value,601888_shares,601888_weight,601888_value,601857_shares,601857_weight,601857_value,601816_shares,601816_weight,601816_value,601728_shares,601728_weight,601728_value,601668_shares,601668_weight,601668_value,601658_shares,601658_weight,601658_value,601628_shares,601628_weight,601628_value,601601_shares,601601_weight,601601_value,601398_shares,601398_weight,601398_value,601328_shares,601328_weight,601328_value,601318_shares,601318_weight,601318_value,601288_shares,601288_weight,601288_value,601225_shares,601225_weight,601225_value,601211_shares,601211_weight,601211_value,601166_shares,601166_weight,601166_value,601127_shares,601127_weight,601127_value,601088_shares,601088_weight,601088_value,601012_shares,601012_weight,601012_value,600930_shares,600930_weight,600930_value,600900_shares,600900_weight,600900_value,600887_shares,600887_weight,600887_value,600809_shares,600809_weight,600809_value,600760_shares,600760_weight,600760_value,600690_shares,600690_weight,600690_value,600519_shares,600519_weight,600519_value,600406_shares,600406_weight,600406_value,600309_shares,600309_weight,600309_value,600150_shares,600150_weight,600150_value,600111_shares,600111_weight,600111_value,600104_shares,600104_weight,600104_value,600050_shares,600050_weight,600050_value,600036_shares,600036_weight,600036_value,600031_shares,600031_weight,600031_value,600030_shares,600030_weight,600030_value,600028_shares,600028_weight,600028_value
2025-01-03 00:00:00,2198.0200000000186,1000000.0,235.00000000000003,0.020752850000000003,20752.850000000002,50.0,0.0207885,20788.5,79.0,0.020601619999999998,20601.62,153.0,0.02070855,20708.55,113.99999999999999,0.020660219999999997,20660.219999999998,320.0,0.020777600000000004,20777.600000000002,3195.0,0.020831399999999996,20831.399999999998,212.0,0.020750559999999998,20750.559999999998,410.0,0.020782899999999997,20782.899999999998,323.0,0.02082704,20827.04,4166.0,0.02083,20830.0,2117.0,0.020831279999999997,20831.28,1558.0,0.02083046,20830.46,1382.0,0.020826740000000003,20826.74,338.0,0.02079714,20797.14,2486.0,0.02083268,20832.68,3591.0,0.0208278,20827.8,3090.0,0.0208266,20826.600000000002,3780.9999999999995,0.020833309999999997,20833.309999999998,4076.0,0.02082836,20828.36,539.0,0.02082157,20821.57,681.0,0.02081817,20818.170000000002,3420.0,0.0208278,20827.8,3023.0,0.020828469999999998,20828.469999999998,436.0,0.020819,20819.0,4470.0,0.0208302,20830.2,936.0,0.020826,20826.0,1215.0,0.020825100000000003,20825.100000000002,1204.0,0.0208292,20829.2,168.0,0.0207816,20781.600000000002,536.0,0.02081288,20812.879999999997,1388.0,0.02082,20820.0,0.0,0.0,,747.9999999999999,0.020831799999999998,20831.8,754.0,0.0208104,20810.4,120.99999999999999,0.02080474,20804.739999999998,453.99999999999994,0.020793199999999998,20793.199999999997,789.0,0.02081382,20813.82,14.0,0.01992816,19928.16,894.0,0.02081232,20812.32,300.0,0.020808,20808.0,622.0,0.02082456,20824.559999999998,1026.0,0.0208278,20827.8,1162.0,0.02082304,20823.04,4385.0,0.02082875,20828.75,584.0,0.020819599999999997,20819.6,1395.0,0.020827349999999998,20827.35,789.0,0.0208296,20829.6,3285.9999999999995,0.02083324,20833.239999999998
2025-01-06 00:00:00,1345.5600000000195,998307.4700000001,235.00000000000003,0.020465538537941624,20430.9,47.00000000000001,0.020474483677859288,20439.83,85.0,0.02186074997515545,21823.75,152.00000000000003,0.020449731784537285,20415.120000000003,112.99999999999997,0.0205340845541304,20499.329999999994,351.00000000000006,0.022263000796738507,22225.320000000003,3105.9999999999995,0.020409904375452582,20375.359999999997,208.99999999999997,0.020416235090377512,20381.679999999997,398.00000000000006,0.020420121668527635,20385.56,317.99999999999994,0.02044065642421768,20406.059999999998,4042.9999999999995,0.020411266681195923,20376.719999999998,2086.0,0.020414772615094227,20380.219999999998,1524.9999999999998,0.020408542069709244,20373.999999999996,1359.9999999999998,0.020420963092663225,20386.399999999998,332.99999999999994,0.02042749414666806,20392.92,2414.0,0.020408702340973167,20374.16,3538.0000000000005,0.020413430343258876,20378.88,3027.9999999999995,0.02041298959728309,20378.44,3724.9999999999995,0.020410295036658394,20375.749999999996,3940.9999999999995,0.020409513714246773,20374.969999999998,529.9999999999999,0.020434285641476767,20399.699999999997,666.0,0.020434165438028826,20399.579999999998,3324.0,0.020410665663956214,20376.12,2966.0000000000005,0.020410966172576074,20376.420000000002,426.9999999999999,0.020440926881975546,20406.329999999994,4335.000000000001,0.020409042917409005,20374.500000000004,932.0000000000002,0.02042673285816443,20392.160000000003,1191.0,0.02042448906046952,20389.920000000002,1159.0,0.020421373787777027,20386.81,166.99999999999997,0.020528985924546873,20494.239999999998,529.0,0.02043812213485691,20403.53,1343.9999999999998,0.020423046619094214,20388.479999999996,0.0,0.0,,735.0,0.020423467331162008,20388.899999999998,746.0,0.02043021875815474,20395.64,123.99999999999999,0.020884707994822473,20849.359999999997,450.9999999999999,0.020424278704435615,20389.709999999995,770.0000000000001,0.020408742408789152,20374.200000000004,25.0,0.03476984901254921,34711.0,878.0,0.02041292949555912,20378.38,294.0,0.02047647705170432,20441.82,621.0,0.020421994838924727,20387.43,980.0000000000001,0.02040874240878915,20374.2,1146.0,0.020410425257060334,20375.88,4345.0,0.020412598936077282,20378.050000000003,566.0,0.020433223844353282,20398.64,1367.0,0.020416525582043377,20381.97,770.0000000000001,0.02043188157251794,20397.300000000003,3219.0,0.020410815918266142,20376.27
2025-01-07 00:00:00,360.780000000017,1010418.6900000001,228.0,0.02044380236078175,20656.8,43.00000000000001,0.020464199845709508,20677.410000000003,80.0,0.020612445322047635,20827.199999999997,140.0,0.02041490344957891,20627.600000000002,112.99999999999997,0.020580963323233854,20795.389999999996,314.00000000000006,0.020454372236523063,20667.480000000003,3037.0,0.02040859913230623,20621.23,203.99999999999997,0.02045211574619626,20665.199999999997,428.0000000000001,0.02147584977866948,21699.600000000006,311.99999999999994,0.020444514936674416,20657.519999999993,4035.9999999999995,0.02041130098256595,20623.96,2149.0000000000005,0.020843042798426466,21060.200000000004,1665.9999999999995,0.021714978371985574,21941.219999999994,1329.0,0.020413399122694374,20626.079999999998,346.99999999999994,0.021007123294601766,21225.989999999998,2585.9999999999995,0.021421634629501952,21644.819999999992,3771.0,0.021347704880637156,21570.12,3152.9999999999995,0.02100088825554088,21219.69,3880.9999999999995,0.021010171535920417,21229.069999999996,3998.9999999999995,0.020619957059582892,20834.789999999997,560.9999999999999,0.021242540555143526,21463.859999999993,694.0,0.021010557514528953,21229.46,3316.0,0.020412844897000074,20625.52,3014.000000000001,0.020641819283845595,20856.880000000005,446.9999999999999,0.02106665307230213,21286.139999999992,4324.000000000001,0.020412805309450485,20625.480000000003,1049.0000000000002,0.022165217470393392,22396.150000000005,1203.0,0.020549679262168045,20763.780000000002,1157.9999999999998,0.020411320776340745,20623.979999999996,161.99999999999997,0.020518979117458723,20732.76,582.9999999999999,0.0218447859471008,22072.379999999994,1374.9999999999998,0.02073892754299705,20954.999999999996,0.0,0.0,,781.0,0.021294687254844822,21516.55,790.0,0.02125079455923366,21472.2,122.99999999999997,0.020436320313908678,20649.239999999994,449.99999999999983,0.02042420652373324,20636.999999999993,756.0000000000001,0.020418505916591865,20631.24,15.0,0.020614820575023216,20829.600000000002,919.0000000000001,0.021073669965467487,21293.230000000003,314.0,0.021364905670935283,21587.5,623.9999999999999,0.020472305396488654,20685.599999999995,962.0000000000002,0.020412607371702522,20625.280000000006,1115.0,0.020414804480704925,20627.5,4395.0,0.020573995914505504,20788.350000000002,595.0000000000001,0.02113435767899345,21354.550000000003,1442.0,0.021192897767953998,21413.7,789.0000000000001,0.020763184814010124,20979.510000000002,3407.0000000000005,0.02124277808044109,21464.100000000002
2025-01-08 00:00:00,366.9500000000189,1009966.49,253.99999999999997,0.022337652014573273,22560.279999999995,43.00000000000001,0.02070199378595225,20908.320000000003,81.00000000000001,0.020601950862745955,20807.280000000002,138.00000000000003,0.02044517338392089,20648.940000000002,112.99999999999997,0.020442490126578353,20646.229999999996,312.00000000000006,0.020459847138096638,20663.760000000006,3295.0000000000005,0.02185864602299825,22076.500000000004,216.99999999999997,0.021488009963578098,21702.17,411.00000000000017,0.020440806902415155,20644.530000000006,341.99999999999994,0.022044493773253796,22264.199999999993,3986.9999999999995,0.02040938011715616,20612.789999999997,2060.0000000000005,0.020417113046988327,20620.600000000006,1571.9999999999995,0.02042111317970559,20624.639999999992,1418.9999999999995,0.021566705643867447,21781.649999999994,341.0,0.02042353900276434,20627.09,2402.9999999999995,0.020414281269866684,20617.739999999998,3584.9999999999995,0.020410330643742446,20613.749999999996,2991.9999999999995,0.020411449492745048,20614.879999999997,3810.0000000000005,0.020408696926172275,20612.100000000002,3956.9999999999986,0.020412528736473222,20615.969999999994,537.9999999999999,0.020444678317990527,20648.44,667.0,0.020413518868333938,20616.97,3277.0000000000005,0.020408924656500238,20612.33,2953.0000000000014,0.02040853850507457,20611.94000000001,432.0,0.020424440022757586,20628.0,4286.000000000001,0.02041222179559641,20615.660000000003,970.0000000000001,0.020418697257965465,20622.200000000004,1196.0000000000002,0.02041556844128561,20619.04,1143.9999999999998,0.020411449492745048,20614.879999999994,167.99999999999997,0.021042282303841583,21251.999999999996,547.9999999999999,0.020423172653975873,20626.719999999998,1365.9999999999998,0.020409528636935265,20612.939999999995,0.0,0.0,,741.0,0.020433202689724886,20636.850000000002,751.0,0.020411518801975302,20614.95,133.0,0.02179560432742674,22012.829999999998,534.9999999999998,0.023583158684799526,23818.19999999999,734.0000000000001,0.020421865679919743,20625.400000000005,15.000000000000002,0.020658210155071584,20864.100000000002,896.0000000000001,0.020422380548487308,20625.920000000002,305.99999999999994,0.020442084172515463,20645.819999999996,611.0,0.02042985604403568,20633.47,1086.0000000000002,0.02259170004739465,22816.860000000008,1396.0,0.024603588580448844,24848.8,4349.0,0.020410835610991412,20614.260000000002,569.0000000000001,0.020433974992576244,20637.630000000005,1383.9999999999995,0.02041810317884903,20621.599999999995,781.0000000000001,0.020422667686726917,20626.210000000003,3246.0000000000005,0.020408696926172275,20612.100000000002
2025-01-09 00:00:00,306.2700000000186,1002946.02,224.99999999999994,0.020486645931353305,20546.999999999993,43.00000000000001,0.020452466624275554,20512.720000000005,79.00000000000001,0.020600969132915054,20661.660000000007,139.00000000000006,0.0205032569948281,20563.660000000007,112.99999999999997,0.02047291637888946,20533.229999999996,312.00000000000006,0.0204412995227799,20501.52,3060.0000000000005,0.020411267996257667,20471.400000000005,206.99999999999997,0.0205029778172907,20563.379999999997,402.00000000000017,0.02041372077033618,20473.860000000008,312.99999999999994,0.02041007152109741,20470.199999999997,4079.9999999999995,0.020787559434155785,20848.8,2322.0000000000005,0.022434088725931632,22500.180000000004,1873.9999999999995,0.02343093200569258,23499.959999999992,1327.9999999999998,0.020417609314606972,20477.759999999995,350.0,0.02083711344704274,20898.5,2644.9999999999995,0.0220208760587135,22085.749999999996,3870.9999999999995,0.021691117533922707,21755.019999999997,3081.9999999999995,0.020896039848684968,20957.599999999995,3961.000000000001,0.021050115937445966,21112.130000000005,4121.999999999998,0.02108374686007527,21145.85999999999,553.9999999999999,0.020885211748484723,20946.739999999998,664.9999999999999,0.020435097793199273,20495.299999999996,3292.0,0.020481740383196296,20542.08,3107.000000000001,0.02125141291253143,21314.020000000008,437.0,0.020591955686707842,20652.62,4311.000000000002,0.020503067552927724,20563.47000000001,1035.0,0.02148540357137067,21548.7,1200.0000000000002,0.02045972524024773,20520.000000000007,1137.9999999999998,0.020412484412670576,20472.619999999995,161.0,0.020496098085119274,20556.48,624.9999999999999,0.02263955342282528,22706.249999999996,1366.9999999999998,0.020417509608343622,20477.659999999996,0.0,0.0,,741.0,0.020421079092571702,20481.24,751.0,0.02041212547012251,20472.260000000002,123.0,0.020486795490748343,20547.15,435.9999999999998,0.020410071521097403,20470.19999999999,725.0000000000001,0.020421089063198037,20481.250000000004,15.000000000000002,0.020825248401703612,20886.600000000002,885.0000000000001,0.020409921961702385,20470.050000000003,305.99999999999994,0.020435676089526726,20495.879999999997,640.0,0.02117282443575577,21235.2,969.0000000000002,0.020414827509859405,20474.970000000005,1182.0000000000002,0.02041210552886984,20472.240000000005,4425.0,0.020692290099521008,20753.25,569.0000000000001,0.02041815769905543,20478.310000000005,1425.9999999999993,0.02090062633679925,20962.19999999999,778.0000000000001,0.02041681166450015,20476.960000000003,3577.0000000000005,0.022040926988274003,22105.86
2025-01-10 00:00:00,486.64000000002125,992516.1,217.99999999999991,0.020466408554984643,20313.239999999994,42.00000000000001,0.02068905481734755,20534.220000000005,82.00000000000003,0.021035447183174162,20878.020000000008,139.00000000000006,0.02050864464566369,20355.160000000007,113.99999999999997,0.020536896076547267,20383.199999999997,353.00000000000006,0.02262364308246486,22454.33,3019.0000000000005,0.02041023818152673,20257.49,202.99999999999997,0.020438751572896395,20285.789999999997,392.00000000000017,0.020411316249680993,20258.56000000001,423.99999999999994,0.026195726195272797,25999.679999999997,3971.999999999999,0.020409945994830706,20257.199999999993,2190.0000000000005,0.020410248256930042,20257.500000000004,1613.9999999999998,0.020408434684334082,20255.699999999997,1294.9999999999998,0.020419568004992558,20266.749999999996,346.0,0.020456373453287054,20303.28,2446.9999999999995,0.0204139358545418,20261.159999999996,3637.0,0.020410842705725376,20258.09,3018.999999999999,0.02041023818152672,20257.489999999994,3873.0000000000014,0.020408525362963892,20255.790000000008,3979.9999999999973,0.020410953535161782,20258.199999999986,548.0,0.020412323790012066,20259.559999999998,712.9999999999999,0.021637492832609965,21475.559999999998,3268.0000000000005,0.020414379172287483,20261.600000000002,2953.0000000000014,0.02041032886015653,20257.58000000001,437.0,0.020429693785319954,20276.8,4283.000000000002,0.020411346475890928,20258.59000000001,971.0,0.020417573075137016,20264.77,1194.0000000000002,0.020414963545679513,20262.180000000004,1127.9999999999998,0.02041163866258693,20258.879999999997,159.99999999999997,0.020455486817795698,20302.399999999998,563.9999999999998,0.02042300371752155,20270.15999999999,1583.9999999999998,0.0230773485689552,22904.64,0.0,0.0,,731.0000000000001,0.020416112141656947,20263.320000000003,775.9999999999999,0.020977070296391155,20820.079999999994,122.99999999999999,0.020488927081384372,20335.59,434.9999999999997,0.02042823285183987,20275.349999999988,853.0000000000001,0.023367953426649705,23193.070000000003,15.000000000000002,0.0209231870394848,20766.600000000002,889.0000000000001,0.020484735713607066,20331.430000000004,336.0,0.02206223153458165,21897.12,628.9999999999999,0.02043820750111761,20285.249999999996,960.0000000000003,0.02041840933361182,20265.600000000006,1155.0000000000002,0.02041145730532734,20258.700000000004,4393.999999999999,0.020409079510145978,20256.339999999997,564.0000000000001,0.0204400512999235,20287.08,1371.9999999999995,0.02041724058682775,20264.43999999999,806.0000000000001,0.021024686652438184,20867.340000000004,3343.0000000000005,0.02041133640048761,20258.58
2025-01-13 00:00:00,203.0600000000195,985764.65,211.99999999999994,0.020435141389985926,20144.239999999994,42.00000000000001,0.020516743017717262,20224.680000000004,80.00000000000003,0.02062155505373418,20328.000000000007,148.00000000000006,0.021490646880064124,21184.720000000005,112.99999999999997,0.02048012170044847,20188.579999999994,323.0,0.02042004650907293,20129.36,3008.0000000000005,0.020414122174090946,20123.520000000004,202.99999999999997,0.020413990296771135,20123.389999999996,391.0000000000001,0.020423323153249618,20132.590000000007,333.0,0.020454324467812875,20163.149999999998,4294.999999999998,0.021785118790778296,21474.999999999993,2274.0000000000005,0.021061436926146624,20761.620000000006,1596.9999999999998,0.020412783112074465,20122.199999999997,1265.9999999999998,0.02042008708670979,20129.399999999998,342.00000000000006,0.020424286872125105,20133.54,2394.9999999999995,0.020408522460203856,20117.999999999996,3642.0,0.020431103915118074,20140.260000000002,3317.9999999999986,0.022080402254229737,21766.07999999999,3854.000000000001,0.020408400727293274,20117.880000000005,4252.999999999997,0.021572086197247976,21264.999999999985,548.0,0.020424266583306674,20133.52,682.0,0.02043721084946594,20146.28,3354.000000000001,0.020856925636357524,20560.020000000004,3180.000000000001,0.021710455938950546,21401.40000000001,437.0,0.020410023832767788,20119.48,4497.000000000003,0.021258644241300403,20956.020000000015,965.9999999999999,0.020412357046887403,20121.779999999995,1194.0000000000002,0.02040943545703328,20118.900000000005,1193.9999999999998,0.021402654274526884,21097.98,153.99999999999997,0.020421588459273717,20130.879999999997,564.9999999999998,0.020433122652551993,20142.249999999993,1375.9999999999998,0.020421588459273717,20130.879999999997,0.0,0.0,,728.0000000000001,0.02042726932843453,20136.480000000003,752.9999999999999,0.020433629873012785,20142.749999999996,120.99999999999997,0.020560181377979006,20267.499999999996,433.9999999999997,0.020424002828667052,20133.259999999987,775.0000000000001,0.020425260735409817,20134.500000000004,15.000000000000002,0.021187917420248333,20886.300000000003,891.0,0.02044546839856755,20154.420000000002,304.99999999999994,0.02040831957201954,20117.799999999996,637.9999999999998,0.020652576657115868,20358.579999999994,946.0000000000001,0.020421588459273724,20130.880000000005,1709.0000000000005,0.028050934875783994,27651.620000000006,4443.999999999999,0.02060236183149801,20309.079999999998,558.0000000000001,0.02041205271461094,20121.480000000007,1384.9999999999993,0.020569209902181,20276.39999999999,776.0,0.020420127664346657,20129.440000000002,3475.0000000000005,0.02108058957074592,20780.500000000004
2025-01-14 00:00:00,342.4800000000214,1008789.09,208.99999999999994,0.020463078164336606,20642.929999999993,54.000000000000014,0.02487891695973834,25097.580000000005,75.00000000000003,0.02045273903586726,20632.50000000001,144.00000000000006,0.020525360757024054,20705.760000000006,109.99999999999997,0.020516181434912226,20696.499999999996,313.0,0.02042837318948404,20607.920000000002,3114.0,0.02099071075401896,21175.2,198.0,0.0204381076325875,20617.739999999998,387.0000000000001,0.02045505864858234,20634.840000000007,322.0,0.020428452492482846,20608.0,4052.999999999998,0.020409855939262776,20589.23999999999,2209.0000000000005,0.020408507788283084,20587.880000000005,1596.0,0.02040902325777532,20588.4,1417.9999999999998,0.022363822352598994,22560.379999999997,340.00000000000006,0.02041437621019474,20593.800000000003,2650.999999999999,0.022153223326394217,22347.929999999993,3827.9999999999995,0.021250031560115304,21436.799999999996,3109.999999999999,0.020408825000278297,20588.199999999993,4019.0000000000005,0.021115117333396223,21300.7,4109.999999999997,0.020411699733985014,20591.099999999984,546.0000000000001,0.02041027228000652,20589.660000000003,682.0,0.020430474718952405,20610.04,3354.000000000001,0.020414138301198325,20593.560000000005,3019.0000000000005,0.02041019297700772,20589.580000000005,451.99999999999994,0.02097377956377383,21158.12,4400.000000000003,0.020412591892721613,20592.00000000001,1071.9999999999998,0.02219897124383056,22394.079999999994,1189.0000000000005,0.020414058998199522,20593.480000000007,1144.9999999999995,0.020419084825748852,20598.54999999999,149.99999999999997,0.020434895861135848,20614.499999999996,594.9999999999998,0.021280563214655695,21467.59999999999,1362.9999999999998,0.020415496365052875,20594.929999999997,0.0,0.0,,812.0000000000002,0.022288385374984582,22484.280000000006,811.9999999999998,0.021692740550951037,21883.399999999994,117.99999999999996,0.02044669218220827,20626.399999999994,431.9999999999998,0.020443995880248853,20623.67999999999,838.0,0.021739390539998807,21930.460000000003,15.000000000000002,0.021128400585696264,21314.100000000002,891.0,0.02042044288960342,20599.920000000002,314.9999999999999,0.020946102817190455,21130.199999999993,627.9999999999998,0.02041893613262609,20598.39999999999,934.0000000000003,0.020415268368931316,20594.700000000008,1214.0000000000007,0.020410054196759814,20589.440000000013,4399.999999999999,0.020412591892721595,20591.999999999993,562.0000000000001,0.02052369539404912,20704.080000000005,1360.9999999999995,0.020412522502597636,20591.929999999993,759.0000000000001,0.020412264767851525,20591.670000000002,3415.0000000000005,0.02041303797208989,20592.450000000004
2025-01-15 00:00:00,235.84000000002197,1002726.17,205.99999999999997,0.020451545609904642,20507.299999999996,44.00000000000002,0.02045176501177785,20507.520000000008,75.00000000000003,0.02049412951892939,20550.000000000007,140.00000000000006,0.020515670793752206,20571.60000000001,109.99999999999997,0.02041424729146143,20469.899999999994,312.0,0.020414666149582993,20470.32,3078.0,0.020413050553971284,20468.7,216.99999999999997,0.02206083840416771,22120.979999999996,454.00000000000017,0.023362709282834425,23426.40000000001,319.0,0.02040821373994857,20463.850000000002,4012.9999999999973,0.020410657078990955,20466.299999999985,2173.000000000001,0.020414007943963412,20469.660000000007,1584.0,0.020409639852124333,20465.28,1339.9999999999998,0.02041953288204296,20475.199999999997,347.00000000000017,0.02075993488830556,20816.53000000001,2439.9999999999986,0.020415942669572484,20471.59999999999,3680.9999999999995,0.020410716915865473,20466.359999999997,3095.999999999999,0.020408921809630234,20464.559999999994,3833.0000000000005,0.02041257185897522,20468.22,4068.9999999999977,0.02041142498554714,20467.06999999999,548.0000000000001,0.020472269114109196,20528.080000000005,681.0,0.020421996166710202,20477.670000000002,3323.0000000000005,0.020414027889588248,20469.680000000004,2979.0000000000005,0.020410088628683147,20465.730000000003,439.99999999999994,0.020430702431951088,20486.399999999998,4354.000000000003,0.02040816387588649,20463.800000000014,992.9999999999995,0.020419991631414183,20475.659999999993,1189.0000000000005,0.020418914567673054,20474.580000000005,1125.9999999999995,0.020415025170830034,20470.679999999993,149.99999999999997,0.02042232526951999,20477.999999999996,568.9999999999998,0.02041128536617329,20466.92999999999,1342.0,0.020423242768262444,20478.92,0.0,0.0,,741.0000000000003,0.02043294631474514,20488.65000000001,764.9999999999995,0.020415743213324126,20471.39999999999,117.99999999999994,0.020498537502018115,20554.41999999999,457.9999999999998,0.02144920581857357,21507.67999999999,798.0000000000001,0.02041305055397128,20468.7,15.0,0.021237752276875355,21295.65,976.0000000000001,0.022056031508582253,22116.160000000003,307.9999999999999,0.020410956263363502,20466.599999999995,727.9999999999998,0.0231382811121804,23201.359999999993,949.0000000000003,0.020688738980453664,20745.140000000007,1557.000000000001,0.02517035134327851,25238.970000000016,4404.999999999999,0.020427560996039425,20483.249999999996,544.0000000000001,0.020415065062079716,20470.720000000005,1560.9999999999998,0.022931016151697726,22993.53,791.0000000000001,0.021141165588607312,21198.800000000003,3394.000000000001,0.020410178383994913,20465.820000000007
2025-01-16 00:00:00,571.2400000000198,1001257.34,227.99999999999994,0.021997142113335214,22024.799999999992,74.00000000000001,0.029389147848843743,29426.100000000002,75.00000000000003,0.020518201644344508,20544.000000000007,197.00000000000006,0.02607955912712711,26112.35000000001,108.99999999999999,0.020433608007308087,20459.299999999996,313.0,0.020450746458447935,20476.46,2984.0,0.020414731741192526,20440.399999999998,201.99999999999997,0.02041471176630775,20440.379999999997,395.0000000000002,0.020455031071232907,20480.75000000001,326.99999999999994,0.020784147260283752,20810.279999999995,3983.999999999997,0.020412254855479994,20437.919999999984,2172.000000000001,0.02041285410202337,20438.520000000008,1624.0,0.02079353545612959,20819.68,1305.0,0.02042367050213085,20449.35,339.0000000000002,0.020416030108703135,20441.70000000001,2395.9999999999986,0.020412214905710442,20437.879999999986,3737.9999999999995,0.020645181986880614,20671.14,3058.999999999999,0.020408459627372113,20434.11999999999,3836.0,0.020420204859621805,20445.88,4022.9999999999986,0.02041117621170197,20436.839999999993,542.0,0.02042939330661986,20455.08,676.0,0.02040981791953705,20435.48,3291.000000000001,0.02041144587264649,20437.110000000004,2966.0,0.02041007759303917,20435.739999999998,438.0,0.020428913909385175,20454.600000000002,4321.000000000003,0.020412664340617986,20438.330000000016,970.9999999999995,0.02041388280858944,20439.549999999992,1210.0000000000005,0.020677101852756462,20703.100000000006,1112.9999999999995,0.020420134947525072,20445.809999999994,159.0,0.02129671279113919,21323.49,560.9999999999998,0.020428374587496148,20454.05999999999,1327.0,0.020410137517693504,20435.8,0.0,0.0,,738.0000000000005,0.020409558246034944,20435.220000000012,773.9999999999994,0.020585736729780164,20611.619999999984,119.99999999999994,0.020642844925361538,20668.799999999992,438.9999999999997,0.02044047936767184,20466.179999999986,788.0,0.020415051339348983,20440.72,15.0,0.02089602658992742,20922.3,916.0000000000001,0.02041944581400023,20445.120000000003,304.99999999999983,0.020412384692231063,20438.04999999999,627.9999999999998,0.020428274713072257,20453.959999999992,935.0000000000003,0.02041343337368194,20439.100000000006,1218.000000000001,0.020424539409618726,20450.220000000016,4366.999999999998,0.020411895307553992,20437.55999999999,539.0000000000001,0.020445513038636003,20471.22,1374.9999999999998,0.0204205743949902,20446.249999999996,766.0,0.020411216161471537,20436.88,3378.000000000001,0.020411236136356318,20436.900000000005
